BIOCHEMICAL,refmet_name,super_class,main_class,sub_class,formula,exactmass,inchi_key,smiles,pubchem_cid
arachidic acid,Arachidic acid,Fatty Acyls,Fatty acids,Saturated FA,C20H40O2,312.30283,VKOBVWXKNCXXDE-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCCCC(=O)O,10467.0
Arachidonic acid_ TMS derivative,Arachidonic acid,Fatty Acyls,Fatty acids,Unsaturated FA,C20H32O2,304.24023,YZXBAPSDXZZRGB-DOFZRALJSA-N,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,444899.0
aspartic acid 1,Aspartic acid,Organic acids,Amino acids and peptides,Amino acids,C4H7NO4,133.037509,CKLJMWTZIZZHCS-REOHCLBHSA-N,N[C@@H](CC(=O)O)C(=O)O,5960.0
aspartic acid 2,Aspartic acid,Organic acids,Amino acids and peptides,Amino acids,C4H7NO4,133.037509,CKLJMWTZIZZHCS-REOHCLBHSA-N,N[C@@H](CC(=O)O)C(=O)O,5960.0
Benzoic acid_ 5-methoxy-2-[(trimethylsilyl)oxy]-_ trimethylsilyl ester,Benzoic acid,Polyketides,Phenolic acids,Phenolic acids,C7H6O2,122.03678,WPYMKLBDIGXBTP-UHFFFAOYSA-N,O=C(O)c1ccccc1,243.0
Benzoic Acid_ TMS derivative_,Benzoic acid,Polyketides,Phenolic acids,Phenolic acids,C7H6O2,122.03678,WPYMKLBDIGXBTP-UHFFFAOYSA-N,O=C(O)c1ccccc1,243.0
Beta- alanine 1,beta-Alanine,Organic acids,Amino acids and peptides,Amino acids,C3H7NO2,89.047679,UCMIRNVEIXFBKS-UHFFFAOYSA-N,NCCC(=O)O,239.0
.beta.-Gentiobiose_ octakis(trimethylsilyl) ether_ methyloxime (isomer 1),beta-Gentiobiose,Carbohydrates,Disaccharides,Disaccharides,C12H22O11,342.116215,DLRVVLDZNNYCBX-LIZSDCNHSA-N,OC[C@H]1O[C@@H](OC[C@H]2O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,441422.0
.beta.-Tocopherol_ TMS derivative,beta-tocopherol,Prenol Lipids,Quinones and hydroquinones,Vitamin E,C28H48O2,416.36543,WGVKWNUPNGFDFJ-DQCZWYHMSA-N,Cc1cc(O)c(C)c2c1O[C@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)CC2,6857447.0
Butanoic acid_ 2_4-bis[(trimethylsilyl)oxy]-_ trimethylsilyl ester,Butyric acid,Fatty Acyls,Fatty acids,Saturated FA,C4H8O2,88.05243,FERIUCNNQQJTOY-UHFFFAOYSA-N,CCCC(=O)O,264.0
